Horas_de_estudio,Asistencia,Horas_de_sueño,Participacion_proyectos,Notas_examenes,Tutorias,Rendimiento_academico
5.745071229516849,high,6.280810883574312,high,8.454821810522253,0,low
4.792603548243223,high,5.457898281303834,low,5.8981485128492075,1,medium
5.971532807151039,high,7.753002833599839,high,7.246861926608104,0,low
7.284544784612038,high,4.439706156710425,low,6.716100366880768,0,medium
4.648769937914996,high,6.5982408511475334,low,8.03440356806394,1,medium
4.648794564576229,high,4.0,high,10.0,0,high
7.368819223261087,high,4.995396364962605,high,8.062702867002887,0,low
6.151152093729364,medium,5.684299092328863,high,5.994733818145129,0,high
4.295788421097572,high,8.645086311443926,high,6.88237070786399,0,low
5.8138400653789475,medium,8.032162036606403,high,9.102892379654097,0,high
4.304873460781307,medium,6.169097974236637,low,4.886984613423534,0,medium
4.301405369644614,high,8.094054692694627,low,6.077413501766712,0,high
5.362943407349051,medium,8.331434445070595,low,8.064945898010064,0,medium
2.1300796330133034,medium,6.759002727437918,low,8.941496879808088,0,medium
2.4126232512304506,high,4.9234327836794645,low,7.913451853410419,1,low
4.1565687061385415,high,6.688131534900829,low,6.089957627174042,0,medium
3.480753319498364,high,6.8531613922417955,high,7.804802951989589,0,medium
5.471370998892911,low,5.151318413754661,low,7.621439150104871,1,high
3.6379638867181834,medium,7.550570189394952,high,7.52623265053438,0,high
2.881544447997063,high,7.419717781453533,high,6.854389484556489,0,low
7.198473153382331,medium,7.66756404984128,low,7.07949146227844,0,high
4.661335549270197,high,7.418384645751165,low,5.638750209191864,0,low
5.101292307031886,high,8.094764552672475,low,10.0,0,high
2.8628777206798146,medium,6.731007958190453,low,7.235499161015784,0,medium
4.183425913212226,high,7.30267766105643,high,7.822768421576216,0,low
5.166383884564799,medium,6.403389573631702,low,6.673133175357488,1,low
3.2735096338665457,medium,6.1232511765670745,high,8.267965494069177,0,high
5.563547027518508,medium,9.007374446143114,high,5.052350587656798,0,medium
4.099041965121793,high,4.0,high,4.381591696728753,1,low
4.562459375310085,medium,8.315139983731395,low,6.954292738863761,0,high
4.097440081655905,low,6.0691886868315095,low,10.0,0,high
7.778417276763406,high,5.874942733535319,low,8.812481251809691,1,medium
4.979754162893099,high,7.392366226098111,low,5.78733035540434,0,high
3.4134336065661497,high,4.765585581473496,low,7.77413111495964,0,medium
6.233817368154783,medium,5.775965392080695,low,6.046015783254163,0,medium
3.1687345250434666,medium,5.7262905302305125,low,7.639625031166453,1,low
5.313295392507133,high,6.667902612722358,low,7.756590814369057,0,low
2.0604948141803368,medium,5.793793467758967,low,8.3897186813472,0,medium
3.0077209266523544,high,9.401678028458903,low,4.651504454263588,0,medium
5.295291853803685,medium,9.695524774746932,high,5.101618016717721,0,medium
6.107699869993116,high,4.0,low,6.886644163142562,0,high
5.257052421784956,high,7.816484057148605,low,5.451364996503171,0,low
4.826527576417639,high,8.287995158616361,low,5.3354168950226155,0,high
4.548344456616067,high,7.814477803586658,low,7.407786068834401,0,high
2.782217014448859,medium,6.012829760362458,low,5.625946653330448,0,medium
3.9202336874079373,high,6.6338566567621875,high,10.0,0,medium
4.309041843560319,high,5.877588017833457,high,6.200251019059145,0,medium
6.585683339328374,high,6.369603953261757,low,6.594651873688461,0,high
5.515427434352692,high,5.185052456999236,high,7.446310810775706,1,medium
2.3554397669558993,medium,6.827816767548175,low,4.73806692828138,0,low
5.486125954092192,medium,4.745797433042395,low,7.762756768248018,0,medium
4.422376579375525,high,6.699798168657794,high,7.51220147475083,0,high
3.984616999541062,high,5.127127466350354,high,6.47604172693345,0,high
5.917514433261302,high,7.310224542687106,low,7.410890961394425,1,medium
6.546499283743927,low,5.980870658585664,low,7.642423769235954,0,medium
6.396920178674298,low,7.435870521811806,high,9.15278606845045,0,medium
3.7411737151660422,medium,8.622371092547173,low,10.0,0,low
4.5361814362231785,low,9.384170404157063,low,5.407748518547992,1,high
5.496895147105346,medium,4.0,high,5.053978885087684,0,medium
6.463317690683539,medium,5.748708859189326,high,7.154124416962023,1,medium
4.281238643232065,high,6.545370884331979,high,3.88162227898094,0,low
4.721511535004274,high,7.690491727572224,low,7.974122847738256,0,high
3.3404975389909577,high,4.524468243768206,low,7.169621144609286,0,high
3.205690063878994,high,5.526861389799676,low,7.550929898892066,1,medium
6.218788733591297,medium,7.195535803985665,low,6.54464209732008,0,medium
7.0343600428562345,high,7.127332362290001,high,7.382523648952603,0,medium
4.891984817629499,high,7.566427609630139,high,7.708359366465802,0,low
6.5052993468380365,high,7.665513590332174,high,7.300035108499887,1,low
5.542454037571451,high,7.507891649673794,high,4.982352076806187,0,high
4.032320368092313,high,7.290482974947239,low,7.258008740802282,1,medium
5.5420934082626205,low,7.083609659989552,low,9.780947029074753,0,high
7.307054849698954,medium,7.997144634586544,high,7.361338087719795,0,low
4.946260941335073,medium,4.0,high,7.205583419152247,0,high
7.346965483721009,high,9.316500230456851,high,9.340056486836238,0,low
1.0703823438653837,high,4.0,low,5.881576663352691,0,medium
